Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),Mapped_Region
Voronezh Oblast,2022,2.91,39.12,4.39,1.29,0.81,0.54,0.71,5.5,Voronezh Oblast
Ivanovo Oblast,2022,4.05,52.53,6.44,1.13,0.77,0.44,1.54,7.5,Ivanovo Oblast
Kaluga Oblast,2022,4.22,45.82,6.39,1.53,1.03,0.58,1.07,7.1,Kaluga Oblast
Kostroma Oblast,2022,4.21,60.72,7.96,1.14,0.88,0.41,1.33,8.5,Kostroma Oblast
Kursk Oblast,2022,2.39,40.99,4.26,1.17,0.75,0.39,0.68,5.5,Kursk Oblast
Lipetsk Oblast,2022,2.73,43.19,4.5,1.08,0.7,0.4,0.76,5.6,Lipetsk Oblast
moscow oblast,2022,6.58,59.38,7.71,2.59,1.57,0.93,1.14,9.4,Moscow Oblast
Oryol Oblast,2022,2.77,40.51,4.43,1.34,0.78,0.44,0.79,5.6,Oryol Oblast
Ryazan Oblast,2022,3.48,51.85,4.84,1.33,0.78,0.74,0.88,6.5,Ryazan Oblast
Smolensk Oblast,2022,3.76,53.46,6.91,1.53,1.08,0.52,1.04,7.8,Smolensk Oblast
Tambov Oblast,2022,2.12,35.65,3.9,0.78,0.54,0.31,0.61,4.6,Tambov Oblast
Tver Oblast,2022,4.36,52.61,7.48,1.58,1.07,0.56,1.35,8.1,Tver Oblast
Tula Oblast,2022,3.44,38.35,4.78,1.15,0.81,0.53,0.96,5.8,Tula Oblast
yaroslavl oblast,2022,5.43,56.56,7.88,1.66,1.17,0.74,1.18,8.7,Yaroslavl Oblast
Moscow,2022,5.5,30.69,4.11,2.31,1.04,0.81,0.63,5.6,Moscow
